"time","T_in_c"
0,147
0.02,151.1767066494878
0.04,151.1843530448295
0.06,151.191985316423
0.08,151.199605125785
0.1,151.207210734101
0.12,151.214801608176
0.14,151.2223777228848
0.16,151.2299392476023
0.18,151.2374864118004
0.2,151.2450191074328
0.22,151.2525373344994
0.24,151.2600412550922
0.26,151.2675310390162
0.28,151.2750065223719
0.3,151.2824677051595
0.32,151.2899148210603
0.34,151.2973481358316
0.36,151.3047674004673
0.38,151.3121726149674
0.4,151.3195640065125
0.42,151.3269418551344
0.44,151.3343059056105
0.46,151.3416561579408
0.48,151.3489927498525
0.5,151.3563159360027
0.52,151.363625628946
0.54,151.3709218850706
0.56,151.3782047607647
0.58,151.3854743124163
0.6,151.3927305964136
0.62,151.3999736691448
0.64,151.4072036159524
0.66,151.4144205363347
0.68,151.4216244510584
0.7,151.4288154210349
0.72,151.4359935071753
0.74,151.4431587703911
0.76,151.4503112715933
0.78,151.4574510716932
0.8,151.4645782306903
0.82,151.4716928079872
0.84,151.4787948658254
0.86,151.4858844649995
0.88,151.4929616663045
0.9,151.5000265305352
0.92,151.5070791184866
0.94,151.5141194909533
0.96,151.5211476701033
0.98,151.5281636417297
1,151.535167530172
1.02,151.5421593908642
1.04,151.5491392792405
1.06,151.5561072507348
1.08,151.5630633607813
1.1,151.5700076648141
1.12,151.576940218267
1.14,151.5838610765742
1.16,151.5907702510101
1.18,151.5976677382764
1.2,151.6045536556973
1.22,151.6114280548659
1.24,151.6182909873751
1.26,151.625142504818
1.28,151.6319826587875
1.3,151.6388115008766
1.32,151.6456290826783
1.34,151.6524354557857
1.36,151.659230647727
1.38,151.6660146874826
1.4,151.67278765443
1.42,151.6795495984999
1.44,151.6863005696227
1.46,151.6930406177291
1.48,151.6997697927496
1.5,151.7064881446149
1.52,151.7131957232553
1.54,151.7198925786016
1.56,151.7265787004458
1.58,151.733254099787
1.6,151.7399188834445
1.62,151.7465730976531
1.64,151.7532167886473
1.66,151.7598500026614
1.68,151.7664727859301
1.7,151.7730851846879
1.72,151.7796872451694
1.74,151.786279013609
1.76,151.7928604960039
1.78,151.7994317220873
1.8,151.8059927693417
1.82,151.8125436817773
1.84,151.8190845034045
1.86,151.8256152782335
1.88,151.8321360502746
1.9,151.8386468635382
1.92,151.8451477620343
1.94,151.8516387897735
1.96,151.8581199546979
1.98,151.8645912893012
2,151.8710528577353
2.02,151.8775046999684
2.04,151.8839468557312
2.06,151.8903793645158
2.08,151.8968022655766
2.1,151.9032155979302
2.12,151.909619400355
2.14,151.9160137113914
2.16,151.9223985513954
2.18,151.928773955769
2.2,151.9351399703968
2.22,151.9414966310258
2.24,151.9478439730574
2.26,151.9541820315469
2.28,151.9605108412033
2.3,151.9668304363897
2.32,151.9731408511232
2.34,151.9794421190745
2.36,151.9857342735685
2.38,151.9920173475839
2.4,151.9982913737535
2.42,152.0045563843636
2.44,152.0108124113551
2.46,152.017059486322
2.48,152.0232976405129
2.5,152.0295269048299
2.52,152.0357473098293
2.54,152.0419588857212
2.56,152.0481617568191
2.58,152.0543559237849
2.6,152.0605413824681
2.62,152.0667181648167
2.64,152.0728863025595
2.66,152.0790458272063
2.68,152.0851967700473
2.7,152.0913391621543
2.72,152.0974730343794
2.74,152.1035984173558
2.76,152.1097153414978
2.78,152.115823837
2.8,152.1219239338384
2.82,152.1280156617696
2.84,152.1340990503313
2.86,152.1401741288417
2.88,152.1462409264005
2.9,152.1522994710527
2.92,152.1583497908323
2.94,152.164391915183
2.96,152.1704258722863
2.98,152.1764516901032
3,152.1824693963737
3.02,152.1884790186177
3.04,152.1944805841341
3.06,152.2004741200014
3.08,152.2064596530772
3.1,152.2124372099987
3.12,152.2184068171823
3.14,152.2243685008238
3.16,152.2303222868986
3.18,152.2362682011611
3.2,152.2422062691452
3.22,152.2481365402774
3.24,152.254059025135
3.26,152.2599737458481
3.28,152.2658807276908
3.3,152.2717799957398
3.32,152.2776715748732
3.34,152.2835554897711
3.36,152.2894317649158
3.38,152.2953004245911
3.4,152.301161492883
3.42,152.307014993679
3.44,152.3128609506692
3.46,152.3186993873449
3.48,152.3245303269996
3.5,152.3303537927288
3.52,152.3361698074297
3.54,152.3419783938015
3.56,152.3477795743452
3.58,152.353573371364
3.6,152.3593598069627
3.62,152.3651389030481
3.64,152.3709106813288
3.66,152.3766751736104
3.68,152.3824324106447
3.7,152.3881823989363
3.72,152.3939251598052
3.74,152.3996607143865
3.76,152.4053890836305
3.78,152.4111102883023
3.8,152.4168243489818
3.82,152.4225312860644
3.84,152.4282311197602
3.86,152.4339238700942
3.88,152.4396095569066
3.9,152.4452881998525
3.92,152.4509598184019
3.94,152.4566244318401
3.96,152.4622820592671
3.98,152.4679327195979
4,152.4735764315627
4.02,152.4792132137065
4.04,152.4848430843896
4.06,152.4904660617868
4.08,152.4960821638884
4.1,152.5016914084993
4.12,152.5072938738014
4.14,152.5128895335469
4.16,152.5184783999773
4.18,152.5240604909957
4.2,152.5296358243445
4.22,152.5352044176055
4.24,152.5407662881999
4.26,152.5463214533884
4.28,152.5518699302706
4.3,152.557411735786
4.32,152.562946886713
4.34,152.5684753996699
4.36,152.5739972911139
4.38,152.5795125773417
4.4,152.5850212744893
4.42,152.5905233985323
4.44,152.5960189652855
4.46,152.6015079904029
4.48,152.6069904893781
4.5,152.612466477544
4.52,152.6179359700728
4.54,152.6233989819762
4.56,152.6288555565878
4.58,152.6343057264578
4.6,152.6397494714456
